dataset,model,f1_score,recall,precision,accuracy
"A. Ian",Gemini-3-Pro,0.77412,0.78424,0.79884,0.92534
"A. Ian",Gemini-2.5-Pro,0.57322,0.91448,0.50282,0.71602
"A. Ian",Gemini-2.5-Flash,0.55374,0.81412,0.53964,0.74666
"A. Ian",GPT-5.1,0.54746,0.58398,0.64264,0.84000
"A. Ian",GPT-5.1-mini,0.49698,0.57854,0.46454,0.79468
"B. Milton",Gemini-3-Pro,0.39096,0.35676,0.51210,0.84688
"B. Milton",Gemini-2.5-Pro,0.42680,0.46812,0.39818,0.78924
"B. Milton",Gemini-2.5-Flash,0.43492,0.43934,0.43284,0.83108
"B. Milton",GPT-5.1,0.55250,0.53996,0.57056,0.95540
"B. Milton",GPT-5.1-mini,0.46600,0.48636,0.45004,0.86080
